evento_id,entidade_id,data_evento,categoria,marca,fabricante,produto,quantidade,valor,desconto,pagamento,canal,uf,sexo,data_nascimento
20620,065.152.516-02,2024-02-27,Máquinas,AgroMax,Empresa C,P0169,7,40037.07,6449.72,Cartão,Representante,PR,F,1996-01-09
20621,380.186.074-43,2024-02-27,Defensivos,AgroMax,Empresa A,P0069,4,6103.13,343.99,Boleto,Loja,PR,M,1960-11-19
20622,557.641.494-28,2024-02-27,Máquinas,AgriPlus,Empresa C,P0156,1,9064.89,37.05,Boleto,Online,GO,F,1986-03-15
20623,819.457.670-90,2024-02-27,Sementes,AgriPlus,Empresa C,P0044,8,10767.31,617.41,Cartão,Representante,GO,F,1947-03-10
20624,593.073.433-06,2024-02-27,Máquinas,VerdeTech,Empresa C,P0148,6,34052.61,2716.23,PIX,Online,MG,M,1962-09-10
20625,168.140.051-07,2024-02-27,Sementes,AgroMax,Empresa C,P0044,3,5638.4,270.1,PIX,Loja,GO,M,1976-10-08
20626,003.250.720-86,2024-02-27,Máquinas,VerdeTech,Empresa B,P0178,8,96792.79,7742.49,PIX,Online,RS,F,1957-01-16
20627,427.446.556-00,2024-02-27,Fertilizantes,VerdeTech,Empresa B,P0138,3,1227.68,145.51,PIX,Online,PR,F,1977-03-17
20628,150.494.874-20,2024-02-27,Fertilizantes,VerdeTech,Empresa C,P0133,4,11399.46,969.78,Cartão,Representante,PR,F,1983-06-18
20629,758.468.916-75,2024-02-27,Fertilizantes,AgriPlus,Empresa A,P0103,9,3647.35,403.19,PIX,Online,PR,M,1948-07-04
20630,598.342.031-36,2024-02-27,Máquinas,AgroMax,Empresa C,P0161,5,13223.15,1867.0,Boleto,Online,PR,M,1968-10-18
20631,304.198.064-90,2024-02-27,Defensivos,VerdeTech,Empresa A,P0097,8,4508.67,126.13,Boleto,Representante,RS,F,2006-02-08
20632,845.100.718-09,2024-02-27,Fertilizantes,AgroMax,Empresa A,P0140,5,6179.27,282.63,Boleto,Online,PR,F,1952-11-12
20633,293.659.940-71,2024-02-27,Máquinas,VerdeTech,Empresa A,P0152,7,85450.79,2293.72,Cartão,Online,BA,M,1990-04-05
20634,908.415.870-94,2024-02-27,Máquinas,AgroMax,Empresa C,P0167,3,8940.18,643.29,PIX,Online,PR,F,1958-01-22
20635,656.518.372-48,2024-02-27,Defensivos,AgroMax,Empresa B,P0069,9,8427.34,957.23,PIX,Loja,PR,F,1992-01-11
20636,789.521.423-30,2024-02-27,Sementes,CampoForte,Empresa A,P0023,1,1356.13,63.52,Cartão,Online,MG,M,1968-10-24
20637,221.131.185-72,2024-02-27,Máquinas,VerdeTech,Empresa B,P0169,8,206461.3,7917.82,Cartão,Representante,BA,F,1987-09-06
20638,404.578.720-80,2024-02-27,Defensivos,AgriPlus,Empresa C,P0061,8,11057.61,263.91,Cartão,Online,PR,F,1959-02-10
20639,861.587.309-71,2024-02-27,Máquinas,VerdeTech,Empresa B,P0169,6,50560.68,6115.32,Cartão,Representante,PR,F,1979-04-18
20640,608.053.481-90,2024-02-27,Máquinas,VerdeTech,Empresa A,P0152,1,5792.34,565.0,Boleto,Loja,MG,M,1949-09-13
20641,167.087.587-33,2024-02-27,Sementes,VerdeTech,Empresa B,P0027,4,4145.91,519.01,Boleto,Online,GO,M,1953-07-30
20642,015.927.603-92,2024-02-27,Máquinas,VerdeTech,Empresa B,P0149,2,16956.74,582.86,Boleto,Representante,PR,M,1978-08-04
20643,409.838.547-34,2024-02-27,Defensivos,AgroMax,Empresa C,P0080,6,3879.39,96.51,Boleto,Loja,MT,M,1958-08-03
20644,315.094.911-47,2024-02-27,Fertilizantes,AgroMax,Empresa A,P0134,6,5077.26,296.4,Boleto,Online,PR,M,1976-11-07
20645,284.326.143-00,2024-02-27,Sementes,VerdeTech,Empresa B,P0037,8,9527.33,1346.51,Boleto,Loja,PR,F,1956-02-17
20646,593.648.334-73,2024-02-27,Fertilizantes,CampoForte,Empresa B,P0133,3,3618.51,58.26,Boleto,Online,PR,M,1993-10-13
20647,098.374.997-37,2024-02-27,Máquinas,CampoForte,Empresa B,P0153,10,94811.1,7576.3,Cartão,Representante,PR,M,1949-02-26
20648,559.063.719-82,2024-02-27,Defensivos,VerdeTech,Empresa B,P0083,10,9665.2,712.1,Boleto,Online,MG,F,2007-01-16
20649,846.322.424-54,2024-02-27,Defensivos,AgriPlus,Empresa C,P0095,4,2909.82,111.78,PIX,Online,BA,M,1963-02-28
20650,010.333.853-52,2024-02-27,Máquinas,AgriPlus,Empresa C,P0178,4,39513.84,2586.28,PIX,Loja,MT,F,1994-06-13
20651,757.190.780-29,2024-02-27,Máquinas,AgroMax,Empresa C,P0156,1,4600.19,181.55,Cartão,Online,PR,M,1960-04-14
20652,034.892.178-02,2024-02-27,Fertilizantes,CampoForte,Empresa C,P0120,7,9726.04,1121.37,Cartão,Loja,PR,F,1978-08-08
20653,328.703.611-49,2024-02-27,Fertilizantes,VerdeTech,Empresa A,P0140,6,10537.0,739.22,Boleto,Representante,PR,M,1965-09-11
20654,661.112.548-55,2024-02-27,Fertilizantes,AgroMax,Empresa C,P0123,10,11263.59,450.31,Cartão,Loja,MT,M,1992-07-17
20655,071.811.553-85,2024-02-27,Máquinas,AgroMax,Empresa A,P0143,5,80393.76,1671.64,PIX,Online,GO,F,1976-07-20
20656,077.691.092-21,2024-02-27,Fertilizantes,VerdeTech,Empresa C,P0107,9,8121.74,607.36,Cartão,Online,PR,F,1951-07-11
20657,117.061.794-80,2024-02-27,Sementes,AgriPlus,Empresa C,P0015,9,17090.05,338.99,PIX,Loja,BA,F,1959-09-22
20658,397.692.091-63,2024-02-27,Máquinas,AgroMax,Empresa A,P0170,6,74009.39,5900.53,Boleto,Representante,PR,F,1975-09-02
20659,397.692.091-63,2024-02-27,Sementes,CampoForte,Empresa B,P0039,3,2309.18,66.19,Cartão,Loja,PR,F,1975-09-02
20660,976.664.510-83,2024-02-27,Máquinas,AgroMax,Empresa B,P0165,6,98943.63,13500.99,Boleto,Loja,BA,F,1995-07-10
20661,999.717.855-60,2024-02-28,Máquinas,AgriPlus,Empresa A,P0152,8,74443.53,5302.31,Boleto,Loja,MT,M,1963-05-08
20662,745.405.220-78,2024-02-28,Defensivos,CampoForte,Empresa C,P0080,10,7844.33,344.87,Cartão,Online,PR,F,1974-12-12
20663,038.436.395-40,2024-02-28,Sementes,CampoForte,Empresa A,P0050,6,3377.23,103.25,PIX,Online,MG,F,1968-03-25
20664,691.443.231-74,2024-02-28,Máquinas,AgriPlus,Empresa C,P0157,6,19108.89,1258.89,Cartão,Representante,MT,M,2007-12-18
20665,125.723.548-61,2024-02-28,Defensivos,AgriPlus,Empresa A,P0082,7,4723.73,494.84,Cartão,Online,GO,F,1998-08-09
20666,592.307.548-20,2024-02-28,Fertilizantes,VerdeTech,Empresa C,P0132,8,10296.29,533.39,Cartão,Loja,MT,M,1967-11-26
20667,226.258.864-39,2024-02-28,Defensivos,VerdeTech,Empresa A,P0098,6,7234.11,711.93,Cartão,Loja,PR,M,1970-12-06
20668,390.930.477-01,2024-02-28,Sementes,CampoForte,Empresa B,P0017,1,890.06,40.49,Boleto,Online,MG,M,1974-01-07
20669,303.435.617-00,2024-02-28,Defensivos,AgriPlus,Empresa A,P0098,5,4718.62,505.28,Boleto,Representante,PR,M,1969-08-03
20670,216.412.305-09,2024-02-28,Sementes,AgroMax,Empresa A,P0027,2,2002.66,204.78,Cartão,Representante,MT,M,1954-08-14
20671,925.896.548-55,2024-02-28,Máquinas,AgroMax,Empresa C,P0156,1,9020.15,948.35,Cartão,Loja,PR,M,2001-02-11
20672,465.879.965-07,2024-02-28,Sementes,VerdeTech,Empresa C,P0014,9,6544.51,658.64,Cartão,Online,GO,M,1975-04-04
20673,190.259.784-28,2024-02-28,Máquinas,AgriPlus,Empresa A,P0149,3,33209.08,1970.27,Boleto,Representante,PR,M,1999-08-02
20674,527.302.808-63,2024-02-28,Fertilizantes,VerdeTech,Empresa B,P0101,2,2332.31,328.81,PIX,Online,PR,F,1959-05-31
20675,483.485.724-73,2024-02-28,Defensivos,AgroMax,Empresa C,P0068,7,12387.58,1026.45,Boleto,Representante,BA,M,1983-07-11
20676,638.789.269-44,2024-02-28,Sementes,CampoForte,Empresa C,P0058,2,1440.61,71.71,PIX,Loja,MT,F,1992-01-28
20677,561.548.381-40,2024-02-28,Defensivos,VerdeTech,Empresa C,P0067,3,7848.71,526.15,Cartão,Loja,PR,F,2004-03-09
20678,297.649.779-60,2024-02-28,Fertilizantes,AgriPlus,Empresa A,P0127,9,12539.15,851.41,Boleto,Representante,MT,F,2006-05-01
20679,533.747.899-00,2024-02-28,Sementes,AgriPlus,Empresa A,P0003,9,12420.78,878.34,Cartão,Online,GO,M,2006-02-11
20680,331.299.549-37,2024-02-28,Defensivos,VerdeTech,Empresa B,P0081,9,14039.27,1462.51,PIX,Representante,BA,M,1975-08-22
20681,770.408.144-63,2024-02-28,Fertilizantes,AgriPlus,Empresa C,P0105,7,5315.07,297.04,Boleto,Online,GO,F,1969-02-20
20682,297.649.779-60,2024-02-28,Máquinas,CampoForte,Empresa C,P0144,3,31579.21,3058.01,Boleto,Representante,MT,F,2006-05-01
20683,344.274.857-74,2024-02-28,Máquinas,AgroMax,Empresa B,P0165,7,75130.91,11646.83,Cartão,Online,PR,M,1977-08-27
20684,435.620.037-30,2024-02-28,Máquinas,VerdeTech,Empresa A,P0154,7,143548.09,2322.81,Boleto,Loja,MT,F,2008-01-02
20685,314.723.178-07,2024-02-28,Máquinas,AgriPlus,Empresa C,P0174,1,9216.02,1444.14,PIX,Loja,MT,M,1994-06-28
20686,326.087.512-37,2024-02-28,Defensivos,CampoForte,Empresa C,P0084,3,3116.61,310.92,Boleto,Representante,PR,M,2008-04-28
20687,953.090.666-83,2024-02-28,Defensivos,AgroMax,Empresa A,P0098,5,6100.5,320.85,Cartão,Loja,PR,M,1996-04-21
20688,412.080.019-90,2024-02-28,Máquinas,VerdeTech,Empresa B,P0146,6,92584.62,11171.52,Boleto,Online,BA,F,1994-05-28
20689,661.069.349-83,2024-02-28,Defensivos,VerdeTech,Empresa C,P0084,10,7969.58,407.32,Cartão,Online,RS,M,1960-12-23
20690,988.297.433-30,2024-02-28,Máquinas,VerdeTech,Empresa A,P0164,5,52422.67,2804.18,PIX,Online,MG,M,1982-10-23
20691,138.089.016-08,2024-02-28,Sementes,AgroMax,Empresa A,P0058,8,3184.1,108.3,Cartão,Loja,MG,F,1976-01-10
20692,576.161.077-96,2024-02-28,Sementes,VerdeTech,Empresa A,P0012,10,8047.14,800.96,Boleto,Loja,BA,M,2004-02-07
20693,974.221.839-00,2024-02-28,Máquinas,CampoForte,Empresa A,P0163,8,78030.57,9897.27,PIX,Online,PR,F,1995-11-03
20694,045.794.798-58,2024-02-28,Defensivos,VerdeTech,Empresa B,P0092,3,4456.98,192.63,Cartão,Online,MT,M,1964-07-30
20695,004.492.770-38,2024-02-28,Máquinas,AgroMax,Empresa A,P0174,6,129015.35,952.21,Boleto,Online,PR,F,1951-07-06
20696,575.362.363-87,2024-02-28,Máquinas,CampoForte,Empresa A,P0176,1,7459.07,959.29,Boleto,Online,PR,M,2006-06-20
20697,652.767.483-06,2024-02-28,Máquinas,VerdeTech,Empresa A,P0170,2,14304.22,1195.5,Cartão,Online,PR,M,1996-07-12
20698,764.842.456-81,2024-02-28,Máquinas,AgriPlus,Empresa A,P0175,5,8013.66,945.09,Boleto,Online,RS,M,1964-09-28
20699,626.081.837-86,2024-02-28,Sementes,AgroMax,Empresa A,P0020,10,8856.3,858.2,Boleto,Loja,GO,M,1974-05-07
20700,223.001.908-26,2024-02-28,Máquinas,AgroMax,Empresa B,P0156,10,142862.08,11693.92,Cartão,Loja,PR,F,2004-06-16
20701,499.507.793-67,2024-02-28,Fertilizantes,CampoForte,Empresa C,P0107,3,5348.19,295.92,PIX,Online,PR,M,1980-11-08
20702,611.169.441-38,2024-02-28,Sementes,CampoForte,Empresa C,P0005,9,13928.92,2152.64,Cartão,Loja,MG,M,1972-12-06
20703,313.103.914-08,2024-02-28,Fertilizantes,CampoForte,Empresa A,P0115,6,10321.42,731.3,PIX,Representante,MT,F,1958-05-28
20704,403.109.082-05,2024-02-28,Fertilizantes,VerdeTech,Empresa A,P0118,6,3253.09,211.79,Boleto,Online,MT,M,1952-03-04
20705,699.839.185-44,2024-02-28,Máquinas,VerdeTech,Empresa C,P0160,4,28655.45,2585.99,PIX,Online,PR,F,1990-03-13
20706,682.840.388-62,2024-02-28,Sementes,AgriPlus,Empresa C,P0001,9,19242.9,888.3,Boleto,Representante,BA,F,1991-09-27
20707,735.017.417-90,2024-02-28,Máquinas,VerdeTech,Empresa A,P0143,6,28868.87,1782.07,PIX,Online,PR,M,1962-09-17
20708,964.501.927-39,2024-02-28,Fertilizantes,AgroMax,Empresa B,P0114,1,960.18,53.07,PIX,Online,PR,M,1966-07-15
20709,782.077.013-90,2024-02-28,Defensivos,VerdeTech,Empresa A,P0070,7,9023.36,825.64,Boleto,Loja,PR,F,1975-05-15
20710,657.366.971-14,2024-02-28,Sementes,CampoForte,Empresa B,P0018,3,3721.42,512.03,Cartão,Online,PR,M,1999-07-19
20711,393.098.047-93,2024-02-28,Defensivos,CampoForte,Empresa C,P0064,10,19491.4,1706.5,Cartão,Loja,BA,M,1951-01-17
20712,097.713.945-09,2024-02-28,Máquinas,CampoForte,Empresa B,P0166,7,73270.79,4985.64,Cartão,Representante,PR,M,1984-11-20
20713,546.991.486-03,2024-02-28,Fertilizantes,AgroMax,Empresa C,P0110,8,11813.42,410.26,Boleto,Representante,MG,M,1997-02-27
20714,599.681.947-35,2024-02-28,Máquinas,CampoForte,Empresa A,P0146,7,43215.82,1656.35,Boleto,Online,PR,F,1961-10-12
20715,634.738.122-26,2024-02-28,Sementes,VerdeTech,Empresa A,P0036,6,4729.0,275.0,PIX,Representante,RS,F,2001-01-25
20716,986.589.480-72,2024-02-28,Defensivos,AgroMax,Empresa B,P0078,9,3439.41,568.29,Boleto,Loja,MG,M,1987-04-24
20717,580.336.449-58,2024-02-28,Máquinas,AgroMax,Empresa B,P0179,4,29519.03,1164.65,PIX,Loja,MG,M,1946-10-26
20718,617.023.602-70,2024-02-28,Defensivos,AgroMax,Empresa B,P0078,3,1708.45,230.84,Boleto,Online,GO,F,1967-04-04
20719,646.215.428-42,2024-02-28,Máquinas,CampoForte,Empresa A,P0156,2,14675.27,1688.83,PIX,Loja,RS,F,1980-07-26
20720,544.912.282-99,2024-02-28,Máquinas,CampoForte,Empresa C,P0150,3,18538.75,1965.11,Cartão,Loja,MT,M,1982-09-07
20721,596.282.297-88,2024-02-28,Sementes,VerdeTech,Empresa B,P0024,4,8940.26,502.06,Cartão,Representante,MT,M,1959-09-11
20722,317.433.187-07,2024-02-28,Sementes,VerdeTech,Empresa B,P0058,2,1931.27,218.45,PIX,Loja,RS,M,1951-05-08
20723,247.571.650-99,2024-02-28,Defensivos,VerdeTech,Empresa A,P0072,2,3337.73,184.21,Boleto,Representante,RS,F,1961-10-24
20724,772.003.910-69,2024-02-28,Sementes,AgroMax,Empresa C,P0045,8,11965.33,546.59,Boleto,Loja,MG,M,1961-08-18
20725,873.395.353-81,2024-02-28,Defensivos,VerdeTech,Empresa A,P0099,8,5231.53,345.75,Cartão,Online,RS,M,1992-12-12
20726,260.015.955-00,2024-02-28,Sementes,AgroMax,Empresa A,P0036,7,4496.09,353.58,PIX,Online,MG,F,1989-10-02
20727,846.847.095-31,2024-02-28,Máquinas,AgriPlus,Empresa C,P0159,10,100143.85,6700.35,PIX,Loja,BA,M,1999-01-21
20728,312.886.302-47,2024-02-28,Defensivos,AgriPlus,Empresa C,P0076,6,15349.95,901.95,Boleto,Loja,GO,F,1975-05-31
20729,185.658.820-39,2024-02-28,Fertilizantes,CampoForte,Empresa C,P0136,10,9514.31,819.69,Cartão,Loja,PR,M,1952-07-16
20730,196.155.811-43,2024-02-28,Fertilizantes,CampoForte,Empresa B,P0138,8,4511.02,438.1,PIX,Loja,RS,F,1946-12-12
20731,346.873.735-18,2024-02-28,Fertilizantes,AgroMax,Empresa C,P0133,5,3746.83,495.77,Boleto,Online,RS,M,1989-02-05
20732,653.623.739-00,2024-02-28,Máquinas,AgriPlus,Empresa B,P0177,2,22927.66,1029.14,Boleto,Online,RS,F,1973-08-20
20733,342.031.869-35,2024-02-28,Máquinas,AgriPlus,Empresa C,P0148,1,4225.4,448.28,PIX,Loja,MG,M,1977-03-16
20734,955.608.429-07,2024-02-28,Máquinas,VerdeTech,Empresa C,P0150,10,39025.22,2601.28,Cartão,Representante,PR,F,1965-07-10
20735,947.361.170-60,2024-02-28,Máquinas,CampoForte,Empresa B,P0167,4,27097.44,1643.4,PIX,Representante,BA,F,1961-02-16
20736,849.023.080-37,2024-02-28,Defensivos,AgriPlus,Empresa A,P0074,7,11241.15,380.81,Cartão,Representante,RS,M,1987-03-08
20737,347.471.538-02,2024-02-28,Fertilizantes,AgriPlus,Empresa A,P0126,3,4723.03,411.74,Cartão,Representante,PR,F,1957-05-02
20738,504.472.575-79,2024-02-28,Fertilizantes,AgriPlus,Empresa B,P0125,4,2938.47,110.45,Cartão,Loja,PR,F,1998-06-13
20739,647.968.068-57,2024-02-29,Máquinas,AgroMax,Empresa B,P0147,2,17231.59,1094.21,Boleto,Representante,GO,F,1989-09-23
20740,344.454.352-28,2024-02-29,Máquinas,VerdeTech,Empresa B,P0177,10,93204.98,2968.42,PIX,Representante,GO,M,2005-05-07
20741,881.177.555-80,2024-02-29,Máquinas,AgroMax,Empresa C,P0168,6,39257.69,4689.61,PIX,Representante,RS,F,1970-09-10
20742,095.180.814-17,2024-02-29,Defensivos,AgroMax,Empresa A,P0098,4,2157.9,207.3,Boleto,Online,MG,M,2006-06-21
20743,829.485.613-45,2024-02-29,Defensivos,CampoForte,Empresa C,P0073,7,10323.47,1166.96,Boleto,Online,MT,M,1991-05-15
20744,276.508.125-53,2024-02-29,Defensivos,AgriPlus,Empresa C,P0085,2,1814.78,59.44,Boleto,Online,PR,M,1998-06-19
20745,187.393.615-00,2024-02-29,Sementes,VerdeTech,Empresa C,P0019,5,1695.07,230.53,Boleto,Loja,MT,M,1949-02-18
20746,900.141.545-87,2024-02-29,Máquinas,AgriPlus,Empresa B,P0167,4,42511.17,2639.91,Boleto,Online,RS,M,1958-08-19
20747,158.330.144-50,2024-02-29,Sementes,AgroMax,Empresa C,P0044,8,2599.49,118.43,PIX,Online,PR,M,1961-03-06
20748,322.933.387-03,2024-02-29,Sementes,AgriPlus,Empresa A,P0021,7,13619.62,657.37,Cartão,Online,PR,M,1983-10-05
20749,749.698.001-38,2024-02-29,Sementes,AgriPlus,Empresa C,P0060,9,2117.63,274.66,Boleto,Representante,PR,M,1975-07-13
20750,530.865.290-24,2024-02-29,Fertilizantes,CampoForte,Empresa B,P0138,1,1590.4,11.38,PIX,Online,GO,F,1992-04-23
20751,032.407.439-57,2024-02-29,Máquinas,AgriPlus,Empresa C,P0153,2,15498.74,518.36,Cartão,Loja,PR,M,1992-09-23
20752,994.820.774-23,2024-02-29,Sementes,AgriPlus,Empresa C,P0047,1,1296.58,129.16,Boleto,Online,PR,F,1953-12-24
20753,703.363.924-43,2024-02-29,Máquinas,AgriPlus,Empresa B,P0170,2,8087.34,246.42,PIX,Representante,PR,M,1997-04-02
20754,780.848.781-31,2024-02-29,Fertilizantes,VerdeTech,Empresa A,P0120,5,5035.97,171.68,PIX,Online,GO,F,1980-12-31
20755,728.661.406-13,2024-02-29,Sementes,VerdeTech,Empresa B,P0025,9,14798.3,132.34,Boleto,Loja,PR,F,1968-06-15
20756,469.698.725-64,2024-02-29,Sementes,VerdeTech,Empresa B,P0015,3,1244.86,35.93,Boleto,Loja,MG,M,1953-07-05
20757,420.123.173-91,2024-02-29,Máquinas,AgroMax,Empresa A,P0169,4,45811.11,6106.05,PIX,Online,RS,M,1961-04-07
20758,449.450.758-08,2024-02-29,Sementes,AgriPlus,Empresa B,P0006,9,9694.15,1034.48,PIX,Loja,PR,M,1993-09-19
20759,797.335.864-12,2024-02-29,Máquinas,VerdeTech,Empresa A,P0163,5,57830.01,3177.74,PIX,Representante,GO,F,1955-01-09
20760,166.783.191-76,2024-02-29,Sementes,CampoForte,Empresa B,P0052,10,14429.5,402.4,Cartão,Loja,BA,M,1991-12-24
20761,085.317.051-77,2024-02-29,Defensivos,CampoForte,Empresa B,P0090,2,1484.85,96.23,PIX,Online,PR,F,2002-12-07
20762,331.550.312-55,2024-02-29,Fertilizantes,VerdeTech,Empresa A,P0115,2,1624.22,102.4,Boleto,Online,PR,F,1960-10-10
20763,474.743.484-46,2024-02-29,Fertilizantes,AgroMax,Empresa A,P0132,6,7029.15,557.85,PIX,Representante,MT,F,1983-01-06
20764,183.707.220-59,2024-02-29,Sementes,VerdeTech,Empresa C,P0059,9,16463.53,681.38,PIX,Online,PR,M,1981-07-06
20765,196.694.462-44,2024-02-29,Sementes,AgroMax,Empresa C,P0058,1,1271.24,84.13,Boleto,Online,MG,F,1953-05-24
20766,080.366.685-30,2024-02-29,Máquinas,CampoForte,Empresa B,P0165,5,92495.14,12249.41,PIX,Representante,RS,M,2001-08-12
20767,546.991.486-03,2024-02-29,Fertilizantes,AgriPlus,Empresa C,P0106,3,940.46,77.08,PIX,Representante,MG,M,1997-02-27
20768,136.444.002-45,2024-02-29,Sementes,AgroMax,Empresa C,P0060,4,3768.2,412.48,Boleto,Loja,MT,F,1949-05-12
20769,204.985.875-25,2024-02-29,Sementes,CampoForte,Empresa A,P0045,7,3656.33,54.58,Boleto,Online,PR,F,1976-02-16
20770,892.814.482-54,2024-02-29,Máquinas,AgroMax,Empresa A,P0170,4,40273.58,4434.58,Cartão,Online,PR,F,2004-12-15
20771,745.551.322-46,2024-02-29,Sementes,AgroMax,Empresa B,P0060,5,2154.14,82.71,PIX,Online,PR,F,1998-08-15
20772,859.870.299-45,2024-02-29,Máquinas,CampoForte,Empresa A,P0151,3,13761.11,1435.54,Boleto,Loja,GO,F,1961-11-17
20773,109.190.409-00,2024-02-29,Máquinas,VerdeTech,Empresa C,P0143,1,6527.25,408.62,Boleto,Loja,BA,F,1975-04-09
20774,389.454.332-95,2024-02-29,Máquinas,CampoForte,Empresa A,P0142,5,55653.78,4932.47,PIX,Online,MG,M,1975-07-16
20775,634.643.422-55,2024-02-29,Máquinas,VerdeTech,Empresa C,P0152,9,125240.64,6826.44,PIX,Loja,PR,M,1953-09-17
20776,266.310.430-26,2024-02-29,Sementes,AgriPlus,Empresa B,P0032,6,7105.97,1063.21,Boleto,Online,MG,F,1989-05-21
20777,812.729.452-78,2024-02-29,Defensivos,AgroMax,Empresa A,P0088,8,7392.68,299.4,Cartão,Representante,GO,M,1997-07-27
20778,377.905.292-00,2024-02-29,Máquinas,CampoForte,Empresa A,P0155,9,20945.14,1492.58,Boleto,Online,PR,F,1951-07-09
20779,822.447.862-93,2024-02-29,Sementes,AgroMax,Empresa A,P0042,3,2431.79,111.58,Cartão,Loja,BA,M,1978-04-12
20780,702.645.606-71,2024-02-29,Defensivos,VerdeTech,Empresa C,P0067,8,5940.83,497.33,Cartão,Loja,MT,M,2000-01-23
20781,278.523.743-95,2024-02-29,Máquinas,AgriPlus,Empresa B,P0157,4,79256.06,9754.82,PIX,Representante,MT,F,2003-07-22
20782,671.784.335-74,2024-02-29,Máquinas,VerdeTech,Empresa B,P0168,10,88084.28,5195.42,Boleto,Loja,PR,F,1987-11-08
20783,111.629.465-63,2024-02-29,Defensivos,AgroMax,Empresa A,P0081,6,2140.07,109.27,Boleto,Loja,PR,F,2000-12-25
20784,022.275.525-30,2024-02-29,Defensivos,VerdeTech,Empresa C,P0067,5,6466.29,826.86,PIX,Loja,MT,F,1990-03-30
20785,061.336.111-38,2024-02-29,Sementes,CampoForte,Empresa C,P0002,9,8276.64,579.0,Boleto,Loja,PR,M,1961-08-07
20786,986.958.986-36,2024-02-29,Fertilizantes,VerdeTech,Empresa A,P0136,5,8569.18,559.67,PIX,Online,MG,M,2007-01-05
20787,187.393.615-00,2024-02-29,Fertilizantes,VerdeTech,Empresa C,P0136,3,2984.61,313.2,Boleto,Loja,MT,M,1949-02-18
20788,704.084.967-46,2024-02-29,Máquinas,VerdeTech,Empresa C,P0172,1,11859.18,965.11,PIX,Loja,BA,M,1990-06-04
20789,099.055.010-96,2024-02-29,Fertilizantes,AgroMax,Empresa C,P0108,3,2162.83,197.54,Cartão,Online,GO,M,1987-10-09
20790,331.584.325-28,2024-02-29,Sementes,CampoForte,Empresa C,P0049,1,608.8,67.76,PIX,Representante,PR,M,1953-08-01
20791,814.432.973-21,2024-02-29,Máquinas,CampoForte,Empresa B,P0150,2,10574.35,274.45,PIX,Online,PR,F,1979-01-02
20792,479.727.204-01,2024-02-29,Defensivos,AgriPlus,Empresa B,P0061,7,5717.32,514.36,Cartão,Loja,BA,M,1978-03-01
20793,312.408.842-57,2024-02-29,Sementes,CampoForte,Empresa B,P0013,3,2439.68,184.09,Boleto,Loja,BA,F,1958-04-01
20794,821.790.076-04,2024-02-29,Máquinas,AgroMax,Empresa B,P0180,10,103510.59,7907.51,PIX,Loja,MG,F,1984-09-14
20795,765.026.268-58,2024-02-29,Defensivos,CampoForte,Empresa B,P0075,2,1334.35,82.57,Boleto,Online,PR,F,2001-07-10
20796,504.472.575-79,2024-02-29,Sementes,VerdeTech,Empresa C,P0042,7,8000.49,268.61,Cartão,Loja,PR,F,1998-06-13
20797,819.919.492-86,2024-02-29,Máquinas,VerdeTech,Empresa B,P0147,10,56230.48,3532.72,Boleto,Representante,MT,M,1983-06-04
20798,422.397.828-46,2024-02-29,Sementes,AgroMax,Empresa B,P0042,8,11049.55,817.89,Cartão,Loja,PR,F,1970-12-05
20799,902.719.908-64,2024-02-29,Defensivos,VerdeTech,Empresa A,P0082,3,3500.23,266.84,Cartão,Representante,MT,F,1973-11-11
20800,964.501.927-39,2024-02-29,Fertilizantes,AgroMax,Empresa A,P0117,4,2197.48,118.64,PIX,Loja,PR,M,1966-07-15
20801,540.201.965-75,2024-02-29,Máquinas,CampoForte,Empresa A,P0161,9,63863.67,3343.29,PIX,Online,PR,M,1985-12-12
20802,960.673.899-08,2024-02-29,Sementes,AgroMax,Empresa B,P0034,8,6613.05,534.63,Cartão,Online,BA,F,1952-05-05
20803,374.374.541-06,2024-02-29,Máquinas,CampoForte,Empresa B,P0174,4,19789.4,1176.56,Cartão,Loja,RS,F,1988-11-05
20804,155.616.346-07,2024-02-29,Sementes,AgroMax,Empresa B,P0008,4,4012.87,371.53,Cartão,Online,BA,F,1974-09-04
20805,706.301.967-88,2024-02-29,Fertilizantes,CampoForte,Empresa A,P0134,1,775.07,89.42,Cartão,Representante,MG,F,1949-01-15
20806,174.388.149-55,2024-02-29,Fertilizantes,CampoForte,Empresa A,P0120,10,7192.05,657.75,Boleto,Representante,BA,M,1954-09-28
20807,551.734.411-94,2024-02-29,Sementes,CampoForte,Empresa B,P0052,9,10396.21,883.76,Cartão,Loja,PR,F,1994-02-06
20808,985.368.014-92,2024-02-29,Defensivos,VerdeTech,Empresa B,P0078,1,1720.1,42.83,Cartão,Loja,RS,M,1993-02-10
20809,177.560.220-68,2024-02-29,Defensivos,CampoForte,Empresa C,P0079,6,6247.51,495.89,Boleto,Online,BA,M,1973-12-01
20810,062.446.567-50,2024-02-29,Máquinas,CampoForte,Empresa B,P0178,1,9668.36,867.63,Boleto,Representante,GO,M,1983-11-13
20811,203.832.811-05,2024-02-29,Máquinas,AgroMax,Empresa C,P0180,2,6985.03,390.81,PIX,Representante,PR,M,2002-04-20
20812,487.188.220-96,2024-02-29,Sementes,CampoForte,Empresa B,P0028,4,2701.39,155.25,Cartão,Representante,BA,M,2002-10-13
